epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.9274,1.79562,5.85593,1.80724,0.01822,0.55236,0.12966,0.0674,2.07401,3.55644,1.83327,0.00018,0.00018,0.08218
2,44.4496,1.37037,2.00811,1.41369,0.12922,0.53176,0.14067,0.05014,2.16611,16.8945,2.31053,0.000369977,0.000369977,0.06337
3,58.66,1.46261,1.55845,1.47851,0.00077,0.0125,0.0004,9e-05,3.23238,8.29808,5.59766,0.000559863,0.000559863,0.0445599
4,72.5651,1.41786,1.48788,1.46424,0.25101,0.49595,0.29474,0.11414,1.91792,54.4967,2.71118,0.000749588,0.000749588,0.0257496
5,86.1482,1.35123,1.42803,1.43113,0.33333,0.10811,0.22401,0.09269,2.31014,50.9446,3.63102,0.000939082,0.000939082,0.00693908
6,99.7288,1.38177,1.34741,1.42702,0.27841,0.37872,0.26146,0.09782,2.05911,9.95949,2.93577,0.000998474,0.000998474,0.000998474
7,113.313,1.3427,1.28314,1.4213,0.19249,0.40034,0.20861,0.08933,1.73856,23.9492,1.9868,0.000997803,0.000997803,0.000997803
8,127.002,1.23403,1.14426,1.32048,0.23604,0.40034,0.24847,0.09532,2.10731,16.2601,2.24347,0.000997011,0.000997011,0.000997011
9,140.475,1.25472,1.16146,1.32511,0.01382,0.0998,0.00294,0.00099,3.45108,8.83078,6.57733,0.000996097,0.000996097,0.000996097
10,153.908,1.24958,1.08142,1.3325,0.54307,0.46058,0.46042,0.22148,1.81563,4.92464,1.7582,0.000995062,0.000995062,0.000995062
11,167.513,1.25623,1.08273,1.34165,0.76967,0.37838,0.33445,0.14702,2.1592,4.48846,2.31418,0.000993906,0.000993906,0.000993906
12,181.715,1.18957,1.03076,1.28235,0.75537,0.48372,0.51143,0.28832,1.53488,2.76327,1.60427,0.000992629,0.000992629,0.000992629
